Path History
77.	x: 7.00	y: 3.00	Duration: 1.53	seconds.	 Direction: 66.801409
78.	x: 7.00	y: 2.00	Duration: 1.47	seconds.	 Direction: 74.054604
79.	x: 7.00	y: 1.00	Duration: 1.43	seconds.	 Direction: 81.869898
80.	x: 7.00	y: 0.00	Duration: 1.41	seconds.	 Direction: EAST
81.	x: 8.00	y: 0.00	Duration: 1.60	seconds.	 Direction: EAST
82.	x: 8.00	y: 1.00	Duration: 1.62	seconds.	 Direction: 82.874984
83.	x: 8.00	y: 2.00	Duration: 1.66	seconds.	 Direction: 75.963757
84.	x: 8.00	y: 3.00	Duration: 1.72	seconds.	 Direction: 69.443955
85.	x: 8.00	y: 4.00	Duration: 1.80	seconds.	 Direction: 63.434949
86.	x: 8.00	y: 5.00	Duration: 1.89	seconds.	 Direction: 57.994617
87.	x: 8.00	y: 6.00	Duration: 2.01	seconds.	 Direction: 53.130102
88.	x: 8.00	y: 7.00	Duration: 2.13	seconds.	 Direction: 48.814075
89.	x: 8.00	y: 8.00	Duration: 2.27	seconds.	 Direction: 45.000000
90.	x: 8.00	y: 9.00	Duration: 2.41	seconds.	 Direction: 41.633539
91.	x: 9.00	y: 9.00	Duration: 2.55	seconds.	 Direction: 45.000000
92.	x: 9.00	y: 8.00	Duration: 2.41	seconds.	 Direction: 48.366461
93.	x: 9.00	y: 7.00	Duration: 2.29	seconds.	 Direction: 52.125016
94.	x: 9.00	y: 6.00	Duration: 2.17	seconds.	 Direction: 56.309932
95.	x: 9.00	y: 5.00	Duration: 2.07	seconds.	 Direction: 60.945396
96.	x: 9.00	y: 4.00	Duration: 1.98	seconds.	 Direction: 66.037511
97.	x: 9.00	y: 3.00	Duration: 1.91	seconds.	 Direction: 71.565051
98.	x: 9.00	y: 2.00	Duration: 1.85	seconds.	 Direction: 77.471192
99.	x: 9.00	y: 1.00	Duration: 1.82	seconds.	 Direction: 83.659808
100.	x: 9.00	y: 0.00	Duration: 1.81	seconds.	 Direction: EAST
